count_total,raw_skill,esco_uri,esco_label
34,робота з підрядниками,http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,перевіряти підрядників
71,працелюбність,http://data.europa.eu/esco/skill/a0cad388-3c4c-4786-b238-fc39f8c495af,наполегливість
93,приймання товару,http://data.europa.eu/esco/skill/2cae39d6-78c2-4ce3-bee8-628504371463,приймати товар
31,гнучкість у роботі,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,адаптуватися до змін ситуації
54,Розробка контент.плану,http://data.europa.eu/esco/skill/cfd5ab8f-ef8a-4877-8243-ddf17ac74604,планування заходів і програм
56,дотримання технологічних процесів,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,"точно використовувати обладнання, інструменти й технології"
58,Google,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,вирішувати проблеми за допомогою цифрових інструментів
68,здатність швидко навчатися,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання
31,Перша медична допомога,http://data.europa.eu/esco/skill/1d21f6ad-340f-45da-a0a3-4e83867f47a6,надавати першу допомогу
74,керування командою,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,керувати персоналом
33,Юридичний супровід,http://data.europa.eu/esco/skill/83e97138-899a-4af8-9187-47823e875841,дотримуватися юридичних зобов’язань
31,професійна відповідальність,http://data.europa.eu/esco/skill/59ad10b1-6f71-4dd4-ad1f-a1fdf68bc2fb,професійна відповідальність
37,вміння аналізувати та оптимізувати процеси,http://data.europa.eu/esco/skill/10026df1-670d-4c75-b3d5-ee0037f9d59b,проводити оптимізацію процесу
76,навчання та саморозвиток,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,керувати особистим розвитком
36,підтримка корпоративної культури,http://data.europa.eu/esco/skill/a8f2a095-9d03-43f0-980d-2b9fcc59a994,формувати корпоративну культуру
42,швидке прийняття рішень,http://data.europa.eu/esco/skill/875217fb-fe22-4c2c-adf4-b57f2052626a,ухвалювати рішення в умовах дефіциту часу
91,підтримка колег,http://data.europa.eu/esco/skill/9f0b8355-7529-42bb-b876-087e3eea732f,взаємодіяти з колегами-акторами
92,виконання планів продажів,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,досягати цілей продажів
75,монтаж відео,http://data.europa.eu/esco/skill/5ce80f97-b385-4a41-9339-a6593d0709c1,здійснювати відеомонтаж
59,фотозйомка,http://data.europa.eu/esco/skill/38509fa4-7c06-4a4b-9622-f521f03c37b8,фотографія
57,робота з клієнтською базою,http://data.europa.eu/esco/skill/debb8d81-ed7f-447d-853a-5d107fda6fcf,надавати послуги супроводу клієнтів
39,військово-технічна підготовка,http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919,інженерні процеси
35,Скрупульозність,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям
93,взаємодія з колегами,http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,співпрацювати з колегами
37,збільшення обсягів продажів,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,досягати цілей продажів
