count_total,raw_skill,esco_uri,esco_label
8605,Відповідальність,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,нести відповідальність
7366,вміння працювати в команді,http://data.europa.eu/esco/skill/e4da156d-a6c4-4b29-935b-eff9c9553cf1,робота в командах
4061,Комунікабельність,http://data.europa.eu/esco/skill/fe30a4b0-1a99-4fc7-afff-b162b8c834ba,принципи комунікації
2782,Робота в команді,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,працювати в колективах
2779,Уважність,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям
2025,організованість,http://data.europa.eu/esco/skill/1258cc12-37bb-4a12-b219-9c3d6b294533,працювати організовано
1734,пунктуальність,http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363,дотримуватися термінів
1688,Активність,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,адаптуватися до змін ситуації
1595,Продаж,http://data.europa.eu/esco/skill/c81c9ea3-4689-4146-9076-24dd175c69bc,здійснювати активний продаж
1502,робота з клієнтами,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,обслуговування клієнтів
1470,стресостійкість,http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,витримувати стрес
1344,ініціативність,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,проявляти ініціативу
1336,Орієнтація на результат,http://data.europa.eu/esco/skill/c513cf4e-83bb-4edc-9ac8-2a7df04a9451,"управління, орієнтоване на результат"
1332,MS Excel,http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,користуватися електронними таблицями
1134,Бажання вчитися і розвиватися,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання
1099,MS Office,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office
1088,цілеспрямованість,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,планувати
1069,Здатність до навчання,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання
1037,Чесність,http://data.europa.eu/esco/skill/6bc02a4a-66af-4b49-9bd3-d07695d52b42,дотримуватися кодексу ділової етики
1000,аналітичне мислення,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити
961,ведення звітності,http://data.europa.eu/esco/skill/918f5211-b99f-4b29-9a34-6e475583ef55,писати звіти про виконану роботу
891,Користувач ПК,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,мати навички роботи на комп’ютері
874,Креативність,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,мислити творчо
862,MS Word,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office
841,уважність до деталей,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям
827,Дисциплінованість,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,дотримуватися правил
826,доброзичливість,http://data.europa.eu/esco/skill/dee61e4f-2304-425b-8ff6-eb03070482da,бути доброзичливим до пасажирів
773,Порядність,http://data.europa.eu/esco/skill/a23659b1-a8bc-4331-a58d-eef263ca6a14,дотримуватися робочих процедур
749,обслуговування клієнтів,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,обслуговування клієнтів
747,професійний розвиток,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,керувати особистим розвитком
740,Ведення переговорів,http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,ведення переговорів і управління контрактами й угодами
734,комунікативні навички,http://data.europa.eu/esco/skill/fe30a4b0-1a99-4fc7-afff-b162b8c834ba,принципи комунікації
672,Користувач 1С,http://data.europa.eu/esco/skill/6ae8306a-4f9d-4410-ac82-6406f3cbd16a,керувати офісними системами
663,Керування транспортними засобами,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,керувати транспортними засобами
650,Ведення документації,http://data.europa.eu/esco/skill/3a815994-6a80-4210-9588-1bb23fc005b3,вести документацію доку
625,Викладка товару,http://data.europa.eu/esco/skill/51317990-9672-4635-bd76-7882718af136,техніка мерчендайзингу
596,вміння працювати з клієнтами,http://data.europa.eu/esco/skill/b7c8f418-08d5-45d6-b697-ab26c6ecbfb4,забезпечувати орієнтованість на клієнта
583,вміння працювати з документацією,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1,документообіг
574,Інвентаризація,http://data.europa.eu/esco/skill/7336bc42-d917-40c2-8791-2ac798c89067,проводити інвентаризацію нерухомого майна
556,організація робочого процесу,http://data.europa.eu/esco/skill/7add3681-17b6-4027-8a9d-ee92d2b96a42,керувати робочими процесами
548,комунікація з клієнтами,http://data.europa.eu/esco/skill/cd990eab-c6a9-4c11-b17d-b12a98f6573b,налагоджувати взаєморозуміння з клієнтами
540,управління персоналом,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,керувати персоналом
523,ведення CRM,http://data.europa.eu/esco/skill/c753a3b5-d5cc-406d-adfe-3372bb267f4b,вести облік клієнтів
510,Уміння аналізувати,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити
509,Викладка товарів,http://data.europa.eu/esco/skill/7e9daad3-8604-4839-af9b-dc6f8db3ef68,запасати товари на полицях
502,консультування клієнтів,http://data.europa.eu/esco/skill/ac6ff889-328b-46ea-a8ee-e196443b2447,консультувати клієнтів
475,Adobe Photoshop,http://data.europa.eu/esco/skill/91ba97f5-7518-4638-b2d2-308996db3cf8,виконувати редагування зображень
475,організація робочого місця,http://data.europa.eu/esco/skill/e5e48620-8476-42e9-bfa9-ffe0282a8ab0,організовувати робочий простір
460,Охайність,http://data.europa.eu/esco/skill/66509193-f1ce-44a6-8c4e-db24dcd19cdd,готувати особисте робоче місце
441,організаційні навички,http://data.europa.eu/esco/skill/5e80353d-53ed-4e64-a5ff-0e3ec52156fa,керувати логістичними функціями
