count_total,raw_skill,esco_uri,esco_label,match_1,match_2,match_3
1,обробка заявок на відвантаження товару,http://data.europa.eu/esco/skill/078861f5-b901-48a5-951e-a3ad0a4fa0bd,обслуговувати складськими матеріалами,Acceptable,Correct,Correct
1,оголошення учасників та переможців тендерів,http://data.europa.eu/esco/skill/0afb2715-a6ee-4ad9-ac8a-fb904dd99b61,брати участь у державних тендерах,Acceptable,Correct,Acceptable
1,аналіз та відстеження результатів роботи,http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817,звітувати про результати аналізу,Incorrect,Correct,Acceptable
1,вміння виконувати розвозку додому,http://data.europa.eu/esco/skill/e180c13d-7762-4e5c-b187-91df6fddebdd,перевозити призначених пацієнтів,Acceptable,Incorrect,Correct
1,складання договорів про співпрацю,http://data.europa.eu/esco/skill/1d7234e4-1c76-4d67-9487-71d8c529cdc9,складати юридичні документи,Correct,Correct,Correct
1,введення нових дистриб'юторів на територію,http://data.europa.eu/esco/skill/2b5143f9-107b-4be2-ae24-7e379ee90369,розширювати регіональну присутність магазину,Correct,Correct,Acceptable
1,монтаж та оформлення відеоматеріалів,http://data.europa.eu/esco/skill/5ce80f97-b385-4a41-9339-a6593d0709c1,здійснювати відеомонтаж,Correct,Correct,Correct
1,виконання робіт якісно і в термін,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям,Acceptable,Acceptable,Correct
1,відмінні знання високовольтного обладнання,http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060,"установлення й ремонт електричного, електронного та прецизійного обладнання",Correct,Acceptable,Acceptable
1,взаємодія з монтажерами,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,співпраця в командах і спільнотах,Acceptable,Incorrect,Acceptable
1,алгоритмізація процесу створення музики,http://data.europa.eu/esco/skill/f1b5800e-b763-4740-9586-3fef30568e81,аналізувати виробничі процеси з метою вдосконалення,Acceptable,Incorrect,Acceptable
1,прийняття швидких та ефективних рішень,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити,Acceptable,Acceptable,Acceptable
1,управління автомобілем МАЗ 10 тонн,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,керувати транспортними засобами,Acceptable,Correct,Correct
1,визначення вимог до кандидатів,http://data.europa.eu/esco/skill/550e2d00-bd89-4614-8e15-330ae5277af3,оцінювати кандидатів,Correct,Correct,Correct
1,виявлення хворих,http://data.europa.eu/esco/skill/5fe3be12-9478-4327-80dd-d8378df5472a,обстежувати пацієнтів на наявність факторів ризику хвороб,Correct,Correct,Correct
1,Управління непродуктовими товарними категоріями та ланцюгами поставок,http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c,управління ланцюгом постачання,Correct,Correct,Correct
1,побудова дистрибуції у країнах ЄС,http://data.europa.eu/esco/skill/52bc9c9a-e614-4354-8acf-a3c478ed2c73,здійснювати експорт товарів,Correct,Correct,Correct
1,ведення електронного діловодства,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1,документообіг,Correct,Correct,Correct
1,відкритість та чесність у взаємодії,http://data.europa.eu/esco/skill/4ddf5204-95f5-4be2-ad35-571e2f493ae5,застосовувати ділові якості,Acceptable,Acceptable,Incorrect
1,вміння вести правову документацію,http://data.europa.eu/esco/skill/12428071-1ec8-4d52-a0ce-3eee78e1e1be,здійснювати управління документацією,Acceptable,Correct,Acceptable
1,цікавий дизайн,http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b,графічний дизайн,Acceptable,Correct,Correct
1,обслуговування та консультація клієнтів,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,обслуговування клієнтів,Correct,Correct,Correct
1,презентація колекцій,http://data.europa.eu/esco/skill/abe138ec-e084-47c7-abe3-e7f371f05eae,взаємодіяти з аудиторією,Correct,Acceptable,Acceptable
