count_total,raw_skill,esco_uri,esco_label,match_1,match_2,match_3
8605,Відповідальність,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,нести відповідальність,Correct,Correct,Correct
7366,вміння працювати в команді,http://data.europa.eu/esco/skill/e4da156d-a6c4-4b29-935b-eff9c9553cf1,робота в командах,Correct,Correct,Correct
4061,Комунікабельність,http://data.europa.eu/esco/skill/fe30a4b0-1a99-4fc7-afff-b162b8c834ba,принципи комунікації,Acceptable,Acceptable,Acceptable
2782,Робота в команді,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,працювати в колективах,Correct,Correct,Correct
2779,Уважність,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям,Correct,Correct,Correct
2025,організованість,http://data.europa.eu/esco/skill/1258cc12-37bb-4a12-b219-9c3d6b294533,працювати організовано,Correct,Acceptable,Correct
1734,пунктуальність,http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363,дотримуватися термінів,Correct,Incorrect,Acceptable
1688,Активність,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,адаптуватися до змін ситуації,Incorrect,Incorrect,Incorrect
1595,Продаж,http://data.europa.eu/esco/skill/c81c9ea3-4689-4146-9076-24dd175c69bc,здійснювати активний продаж,Correct,Correct,Acceptable
1502,робота з клієнтами,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,обслуговування клієнтів,Correct,Correct,Correct
1470,стресостійкість,http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,витримувати стрес,Correct,Correct,Correct
1344,ініціативність,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,проявляти ініціативу,Correct,Correct,Correct
1336,Орієнтація на результат,http://data.europa.eu/esco/skill/c513cf4e-83bb-4edc-9ac8-2a7df04a9451,"управління, орієнтоване на результат",Acceptable,Acceptable,Correct
1332,MS Excel,http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,користуватися електронними таблицями,Correct,Correct,Correct
1134,Бажання вчитися і розвиватися,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання,Correct,Correct,Correct
1099,MS Office,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office,Correct,Correct,Correct
1088,цілеспрямованість,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,планувати,Incorrect,Acceptable,Acceptable
1069,Здатність до навчання,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання,Correct,Correct,Correct
1037,Чесність,http://data.europa.eu/esco/skill/6bc02a4a-66af-4b49-9bd3-d07695d52b42,дотримуватися кодексу ділової етики,Correct,Correct,Acceptable
1000,аналітичне мислення,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити,Correct,Correct,Correct
961,ведення звітності,http://data.europa.eu/esco/skill/918f5211-b99f-4b29-9a34-6e475583ef55,писати звіти про виконану роботу,Correct,Acceptable,Correct
891,Користувач ПК,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,мати навички роботи на комп’ютері,Correct,Correct,Correct
874,Креативність,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,мислити творчо,Correct,Correct,Correct
862,MS Word,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office,Correct,Correct,Correct
841,уважність до деталей,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям,Correct,Correct,Correct
827,Дисциплінованість,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,дотримуватися правил,Correct,Acceptable,Correct
826,доброзичливість,http://data.europa.eu/esco/skill/dee61e4f-2304-425b-8ff6-eb03070482da,бути доброзичливим до пасажирів,Acceptable,Acceptable,Acceptable
773,Порядність,http://data.europa.eu/esco/skill/a23659b1-a8bc-4331-a58d-eef263ca6a14,дотримуватися робочих процедур,Incorrect,Incorrect,Incorrect
749,обслуговування клієнтів,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,обслуговування клієнтів,Correct,Correct,Correct
747,професійний розвиток,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,керувати особистим розвитком,Acceptable,Correct,Correct
740,Ведення переговорів,http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,ведення переговорів і управління контрактами й угодами,Correct,Correct,Correct
734,комунікативні навички,http://data.europa.eu/esco/skill/fe30a4b0-1a99-4fc7-afff-b162b8c834ba,принципи комунікації,Correct,Correct,Correct
