Tue Mar  3 15:57:13 2026    profile.out

         3642297 function calls (3506319 primitive calls) in 66.492 seconds

   Ordered by: cumulative time
   List reduced from 11965 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1838/1    0.055    0.000   62.410   62.410 {built-in method builtins.exec}
      2/1    0.026    0.013   61.500   61.500 scripts/run_pipeline.py:1(<module>)
      2/1    0.007    0.004   61.474   61.474 scripts/run_pipeline.py:169(main)
        1    0.000    0.000   61.021   61.021 scripts/run_pipeline.py:84(run_single)
        1    0.002    0.002   61.004   61.004 /Users/ihor/Workspace/skills2/esco_pipeline/pipeline.py:21(run)
       12    0.000    0.000   60.906    5.076 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpx/_client.py:771(request)
       12    0.000    0.000   60.903    5.075 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpx/_client.py:879(send)
       12    0.000    0.000   60.897    5.075 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpx/_client.py:930(_send_handling_auth)
       12    0.000    0.000   60.896    5.075 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpx/_client.py:964(_send_handling_redirects)
       12    0.001    0.000   60.895    5.075 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpx/_client.py:1001(_send_single_request)
       12    0.001    0.000   60.880    5.073 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpx/_transports/default.py:230(handle_request)
       12    0.000    0.000   60.878    5.073 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpcore/_sync/connection_pool.py:199(handle_request)
       12    0.000    0.000   60.874    5.073 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpcore/_sync/connection.py:69(handle_request)
       12    0.001    0.000   60.305    5.025 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpcore/_sync/http11.py:65(handle_request)
       48    0.001    0.000   60.302    1.256 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpcore/_sync/http11.py:209(_receive_event)
       12    0.000    0.000   60.300    5.025 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpcore/_sync/http11.py:170(_receive_response_headers)
       18    0.014    0.001   60.289    3.349 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/httpcore/_backends/sync.py:124(read)
        3    0.000    0.000   59.298   19.766 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/concurrent/futures/_base.py:666(__exit__)
        3    0.000    0.000   59.298   19.766 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/concurrent/futures/thread.py:254(shutdown)
        3    0.000    0.000   59.298   19.766 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/threading.py:1097(join)
        3    0.000    0.000   59.297   19.766 {method 'join' of '_thread._ThreadHandle' objects}
        3    0.000    0.000   59.297   19.766 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/concurrent/futures/thread.py:81(run)
        3    0.000    0.000   59.296   19.765 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/concurrent/futures/thread.py:71(run)
        2    0.000    0.000   59.042   29.521 /Users/ihor/Workspace/skills2/esco_pipeline/llm_client.py:47(generate_json_batch)
        4    0.000    0.000   59.041   14.760 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/concurrent/futures/_base.py:193(as_completed)
        2    0.000    0.000   59.041   29.520 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/tenacity/__init__.py:323(wrapped_f)
      4/2    0.000    0.000   59.041   29.520 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/tenacity/__init__.py:460(__call__)
        2    0.000    0.000   59.041   29.520 /Users/ihor/Workspace/skills2/esco_pipeline/llm_client.py:39(generate_json)
        2    0.000    0.000   59.041   29.520 /Users/ihor/Workspace/skills2/esco_pipeline/llm_client.py:80(_call_gemini)
        2    0.000    0.000   59.040   29.520 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/google/genai/models.py:5507(generate_content)
        2    0.001    0.000   59.040   29.520 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/google/genai/models.py:4234(_generate_content)
        2    0.000    0.000   59.035   29.518 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/google/genai/_api_client.py:1386(request)
